P (kW);Date;Time Frame;(Ta)¡C;Tm (¡C);I3 (W/m2);I15 (W/m2);;
500,8418167;8/23/13 2:57 PM;14;32,05333333;42,368;670,9386667;678,1703333;;
359,5367667;8/23/13 3:57 PM;15;31,95766667;38,41983333;492,513;486,0565;;
142,8250667;8/23/13 4:57 PM;16;29,99283333;31,04633333;207,8346667;200,0145;;
35,97335;8/23/13 5:57 PM;17;27,458;25,99316667;54,313;53,376;;
6,28385;8/23/13 6:57 PM;18;25,99083333;23,7165;9,214833333;9,812333333;;
0;8/23/13 7:57 PM;19;24,80333333;21,4405;0;0;;
0;8/23/13 8:57 PM;20;23,83883333;20,12783333;0;0,232;;
0;8/23/13 9:47 PM;21;22,8072;19,0378;0;0,036851852;;
0;0;22;0;0;0;0;;
0;0;23;0;0;0;0;;
0;0;24;0;0;0;0;;
0;0;1;0;0;0;0;;
0;0;2;0;0;0;0;;
0;0;3;0;0;0;0;;
0;8/24/13 4:57 AM;4;20,88983333;16,857;0;1,16;;
11,18948333;8/24/13 5:57 AM;5;20,529;16,51916667;21,32533333;23,95716667;;
107,36895;8/24/13 6:57 AM;6;22,64833333;21,92666667;151,3613333;170,7388333;;
264,9925333;8/24/13 7:57 AM;7;26,4385;35,0415;344,4671667;383,742;;
406,4195167;8/24/13 8:57 AM;8;28,5675;43,16633333;520,3163333;597,3668333;;
536,01475;8/24/13 9:57 AM;9;31,20516667;51,33566667;670,7341667;757,7026667;;
604,9252833;8/24/13 10:57 AM;10;32,94366667;55,909;783,1278333;853,9018333;;
593,2760333;8/24/13 11:57 AM;11;33,95933333;58,29783333;777,407;770,4651667;;
655,2223;8/24/13 12:57 PM;12;36,18016667;60,24583333;885,3751667;929,3778333;;
625,0457833;8/24/13 1:57 PM;13;36,11783333;56,77916667;849,1768333;855,5566667;;
396,9734333;8/24/13 2:57 PM;14;34,11233333;43,78366667;537,2548333;507,8171667;;
319,2368333;8/24/13 3:57 PM;15;34,04;42,1445;438,7343333;457,057;;
187,4856333;8/24/13 4:57 PM;16;33,51366667;37,12383333;291,9366667;269,8913333;;
55,0345;8/24/13 5:57 PM;17;31,57516667;30,80933333;101,5298333;83,3135;;
3,434633333;8/24/13 6:57 PM;18;27,8815;25,04533333;4,5445;5,544166667;;
0;8/24/13 7:57 PM;19;26,51416667;23,334;0;0;;
0;8/24/13 8:57 PM;20;25,26433333;21,37083333;0;0;;
0;8/24/13 9:47 PM;21;24,1314;20,0418;0;0;;
0;0;22;0;0;0;0;;
0;0;23;0;0;0;0;;
0;0;24;0;0;0;0;;
0;0;1;0;0;0;0;;
0;0;2;0;0;0;0;;
0;0;3;0;0;0;0;;
0;8/25/13 4:57 AM;4;20,83383333;16,9815;0;0;;
12,16626667;8/25/13 5:57 AM;5;20,998;17,336;22,32316667;24,61333333;;
106,5928833;8/25/13 6:57 AM;6;23,71383333;22,6405;142,4598333;163,5691667;;
254,85135;8/25/13 7:57 AM;7;27,638;33,22;332,9025;348,508;;
296,38755;8/25/13 8:57 AM;8;29,35683333;38,97883333;367,5511667;553,3986667;;
350,7638167;8/25/13 9:57 AM;9;31,26483333;44,28766667;473,4443333;607,6438333;;
477,9217333;8/25/13 10:57 AM;10;32,63716667;49,9845;598,0981667;611,3161667;;
611,045;8/25/13 11:57 AM;11;33,795;53,55983333;837,08;821,2423333;;
665,1872667;8/25/13 12:57 PM;12;34,269;55,95383333;872,9943333;925,8043333;;
596,9984667;8/25/13 1:57 PM;13;34,6155;55,3275;797,7041667;827,6006667;;
503,3101333;8/25/13 2:57 PM;14;35,77416667;53,8275;680,9575;693,6068333;;
341,4380167;8/25/13 3:57 PM;15;35,038;46,08983333;469,6923333;467,2213333;;
112,81555;8/25/13 4:57 PM;16;32,3665;34,493;158,3836667;152,6293333;;
52,526;8/25/13 5:57 PM;17;29,80083333;28,92466667;77,57816667;74,51466667;;
3,81325;8/25/13 6:57 PM;18;27,60616667;24,75316667;5,897333333;6,859333333;;
0;8/25/13 7:57 PM;19;26,26733333;23,029;0;0;;
0;8/25/13 8:57 PM;20;24,6805;20,4205;0;0;;
0;8/25/13 9:47 PM;21;24,0136;20,091;0;0;;
0;0;22;0;0;0;0;;
0;0;23;0;0;0;0;;
0;0;24;0;0;0;0;;
0;0;1;0;0;0;0;;
0;0;2;0;0;0;0;;
0;0;3;0;0;0;0;;
0,000404255;8/26/13 4:57 AM;4;22,22516667;19,652;0;0;;
24,38085;8/26/13 5:57 AM;5;23,98916667;22,285;37,59216667;40,16183333;;
78,19536667;8/26/13 6:57 AM;6;25,36766667;23,94633333;109,1536667;122,3971667;;
257,10935;8/26/13 7:57 AM;7;28,05283333;32,46333333;335,4813333;376,4045;;
394,9927833;8/26/13 8:57 AM;8;30,24716667;43,67933333;515,1756667;593,9136667;;
528,6821;8/26/13 9:57 AM;9;31,85333333;49,5015;651,1838333;743,3228333;;
589,88145;8/26/13 10:57 AM;10;33,1475;52,51766667;762,6408333;844,6698333;;
647,8489333;8/26/13 11:57 AM;11;34,237;55,04033333;857,7663333;917,0771667;;
643,3825333;8/26/13 12:57 PM;12;35,03133333;55,898;853,2851667;907,1785;;
584,6433833;8/26/13 1:57 PM;13;35,45316667;54,628;778,8216667;815,777;;
487,3615833;8/26/13 2:57 PM;14;35,6145;51,23666667;655,4493333;666,9415;;
341,2019833;8/26/13 3:57 PM;15;35,39966667;46,70083333;473,2103333;471,0721667;;
173,53935;8/26/13 4:57 PM;16;34,01816667;38,40783333;271,5355;254,5946667;;
49,18246667;8/26/13 5:57 PM;17;31,3745;31,0345;93,604;80,20783333;;
3,308866667;8/26/13 6:57 PM;18;28,25666667;25,702;4,925;6,4975;;
0;8/26/13 7:57 PM;19;26,87883333;23,7845;0;0;;
0;8/26/13 8:57 PM;20;26,0155;22,87133333;0;0;;
0;8/26/13 9:47 PM;21;25,3668;22,2926;0;0;;
0;0;22;0;0;0;0;;
0;0;23;0;0;0;0;;
0;0;24;0;0;0;0;;
0;0;1;0;0;0;0;;
0;0;2;0;0;0;0;;
0;0;3;0;0;0;0;;
0;8/27/13 4:57 AM;4;24,89083333;22,79366667;0;0;;
5,271766667;8/27/13 5:57 AM;5;25,1575;23,31816667;9,394833333;9,8675;;
47,56155;8/27/13 6:57 AM;6;26,1415;25,55683333;70,12083333;69,75866667;;
94,77898333;8/27/13 7:57 AM;7;27,41283333;29,683;119,805;130,2166667;;
250,0363167;8/27/13 8:57 AM;8;29,17516667;32,316;325,039;346,8568333;;
499,1173667;8/27/13 9:57 AM;9;32,28566667;47,76983333;628,725;700,827;;
610,2623;8/27/13 10:57 AM;10;33,86416667;53,72916667;786,0233333;857,0881667;;
648,7841333;8/27/13 11:57 AM;11;34,76966667;55,1965;834,3968333;901,5568333;;
645,9083167;8/27/13 12:57 PM;12;35,08266667;55,00166667;848,0216667;900,975;;
396,2783333;8/27/13 1:57 PM;13;33,60016667;45,22183333;514,5725;550,3726667;;
493,01195;8/27/13 2:57 PM;14;32,55216667;42,106;664,5416667;671,5245;;
345,3430667;8/27/13 3:57 PM;15;33,2045;40,74483333;474,6018333;450,4656667;;
179,0381167;8/27/13 4:57 PM;16;32,95266667;36,08466667;265,8338333;238,8296667;;
54,9882;8/27/13 5:57 PM;17;31,8145;31,11516667;90,43183333;80,084;;
2,061983333;8/27/13 6:57 PM;18;26,98016667;26,3275;2,993166667;4,078;;
0;8/27/13 7:57 PM;19;25,25566667;23,82233333;0;0;;
0;8/27/13 8:57 PM;20;25,609;24,07733333;0;0;;
0;8/27/13 9:47 PM;21;25,9568;23,962;0;0;;
0;0;22;0;0;0;0;;
0;0;23;0;0;0;0;;
0;0;24;0;0;0;0;;
0;0;1;0;0;0;0;;
0;0;2;0;0;0;0;;
0;0;3;0;0;0;0;;
0;8/28/13 4:57 AM;4;22,74633333;20,4245;0;0;;
8,4565;8/28/13 5:57 AM;5;24,01616667;22,4055;15,69333333;17,11766667;;
110,7954667;8/28/13 6:57 AM;6;25,4825;26,186;152,6823333;172,9676667;;
145,2383833;8/28/13 7:57 AM;7;27,3265;32,09266667;178,434;190,8146667;;
388,8064167;8/28/13 8:57 AM;8;29,1615;42,05033333;487,7168333;548,989;;
554,11475;8/28/13 9:57 AM;9;30,9035;47,62633333;686,648;763,816;;
508,31105;8/28/13 10:57 AM;10;32,86316667;49,334;695,6716667;748,8735;;
655,80125;8/28/13 11:57 AM;11;34,516;57,3035;851,568;921,0368333;;
635,8572333;8/28/13 12:57 PM;12;35,26033333;57,87066667;858,1356667;926,666;;
555,1313833;8/28/13 1:57 PM;13;34,315;50,54583333;777,6423333;751,7158333;;
433,7986;8/28/13 2:57 PM;14;33,16966667;44,083;581,9521667;568,512;;
212,7639667;8/28/13 3:57 PM;15;31,32283333;36,77433333;283,8553333;252,7911667;;
149,1369167;8/28/13 4:57 PM;16;29,815;31,055;229,1758333;201,55;;
37,11641667;8/28/13 5:57 PM;17;28,34583333;27,45233333;55,79766667;52,59516667;;
1,8719;8/28/13 6:57 PM;18;25,8795;23,85366667;2,0235;2,8635;;
0;8/28/13 7:57 PM;19;24,473;21,25116667;0;0;;
0;8/28/13 8:57 PM;20;24,3165;20,9425;0;0;;
0;8/28/13 9:47 PM;21;23,4512;19,8458;0;0;;
0;0;22;0;0;0;0;;
0;0;23;0;0;0;0;;
0;0;24;0;0;0;0;;
0;0;1;0;0;0;0;;
0;0;2;0;0;0;0;;
0;0;3;0;0;0;0;;
0;8/29/13 4:57 AM;4;21,25616667;18,077;0;0,503404255;;
8,042266667;8/29/13 5:57 AM;5;21,2335;18,28433333;17,2515;20,79116667;;
113,2043167;8/29/13 6:57 AM;6;22,9895;21,57483333;153,8506667;182,7811667;;
292,5519667;8/29/13 7:57 AM;7;25,42933333;29,44033333;354,9948333;419,2243333;;
445,03275;8/29/13 8:57 AM;8;27,119;34,51383333;557,0106667;651,8338333;;
591,6886167;8/29/13 9:57 AM;9;28,36833333;38,89783333;729,7551667;795,6463333;;
555,67645;8/29/13 10:57 AM;10;29,2995;39,10933333;659,0298333;834,239;;
697,3891167;8/29/13 11:57 AM;11;29,8035;42,50966667;882,237;954,6546667;;
644,64175;8/29/13 12:57 PM;12;30,08616667;41,86666667;829,8161667;871,7033333;;
395,8094833;8/29/13 1:57 PM;13;29,41066667;35,5695;497,2303333;516,8175;;
203,1753333;8/29/13 2:57 PM;14;28,01333333;30,313;255,3746667;251,3808333;;
156,6900333;8/29/13 3:57 PM;15;27,147;28,69133333;195,8931667;196,4393333;;
165,2918333;8/29/13 4:57 PM;16;27,73016667;28,82383333;227,4788333;213,7761667;;
45,8827;8/29/13 5:57 PM;17;26,13983333;25,24216667;66,21433333;63,255;;
1,6875;8/29/13 6:57 PM;18;24,41216667;22,58666667;2,069;3,6305;;
0;8/29/13 7:57 PM;19;23,93;22,16183333;0;0,58;;
0;8/29/13 8:57 PM;20;23,4105;20,69516667;0;1,304;;
0;8/29/13 9:47 PM;21;22,7942;19,2852;0;1,23962963;;
0;0;22;0;0;0;0;;
0;0;23;0;0;0;0;;
0;0;24;0;0;0;0;;
0;0;1;0;0;0;0;;
0;0;2;0;0;0;0;;
0;0;3;0;0;0;0;;
0;8/30/13 4:57 AM;4;19,11266667;15,1795;0;0;;
7,509483333;8/30/13 5:57 AM;5;19,04;15,34333333;16,11983333;17,50716667;;
110,86295;8/30/13 6:57 AM;6;21,70716667;20,03166667;150,7305;177,4308333;;
285,4614167;8/30/13 7:57 AM;7;24,48716667;30,02733333;335,8278333;406,4255;;
205,0386833;8/30/13 8:57 AM;8;26,009;29,6115;258,1985;257,6505;;
462,13275;8/30/13 9:57 AM;9;27,71616667;36,451;582,4136667;555,8756667;;
611,66435;8/30/13 10:57 AM;10;29,3305;41,01133333;813,3325;822,3205;;
598,3641833;8/30/13 11:57 AM;11;29,98;40,6535;712,2945;860,3715;;
629,7166;8/30/13 12:57 PM;12;30,75516667;42,37583333;852,0325;884,5555;;
542,9090667;8/30/13 1:57 PM;13;30,58666667;40,90716667;721,7708333;767,7683333;;
483,0538;8/30/13 2:57 PM;14;30,86383333;39,6085;631,731;644,4291667;;
310,59005;8/30/13 3:57 PM;15;29,76;33,731;416,8248333;404,3675;;
127,8397833;8/30/13 4:57 PM;16;27,36066667;28,14083333;169,8156667;164,8793333;;
32,81415;8/30/13 5:57 PM;17;25,79133333;25,07;45,532;47,48416667;;
0,7302;8/30/13 6:57 PM;18;0;0;0,764833333;2,248833333;;
0;8/30/13 7:57 PM;19;0;0;0;1,16;;
0;8/30/13 8:57 PM;20;0;0;0;1,401666667;;
0;8/30/13 9:57 PM;21;0;0;0;0;;
0;0;22;0;0;0;0;;
0;0;23;0;0;0;0;;
0;0;24;0;0;0;0;;
0;0;1;0;0;0;0;;
0;0;2;0;0;0;0;;
0;0;3;0;0;0;0;;
0;8/31/13 4:57 AM;4;0;0;0;0;;
0;8/31/13 5:57 AM;5;0;0;0;0;;
0;8/31/13 6:57 AM;6;0;0;0;0;;
0;8/31/13 7:57 AM;7;0;0;0;0;;
